Gb,128.9,37.4,131.6
N,128.4,38.1,120.2
Rh,128.7,28.2,102.6
Fz-R,78.1,50.6,115.7
Fz-L,178.3,52.2,114.5
Ft-R,79.1,54,132.5
Ft-L,176.5,53.8,131.3
OrS-R,97.4,42.3,127.4
OrS-L,157,42.5,127.6
SOr-R,102.8,41.8,127.5
SOr-L,151.7,41.9,127.6
OrM-R,119.1,42,112.8
OrM-L,135.8,41.7,113.8
Or-R,94.3,40.5,92.1
Or-L,162,41.1,92.3
ION-R,102,43.3,87.5
ION-L,154.4,43.8,87.4
M-R,73.4,142.1,52.4
M-L,180.8,142.4,52.5
Po-R,67.2,129,80
Zy-R,63.3,71.1,85.3
J-R,67.6,64,93.8
Po-L,189.2,129.8,80.5
Zy-L,193.3,74.4,85.2
J-L,188.8,65.7,93.1
ANS,127.9,30.8,71.7
A,128,31,66.4
U0,128.2,22.6,48
U1E-R,122.5,23,47
U1E-L,133.6,22.4,47
U2E-R,115.1,26.3,47.1
U2E-L,141.6,26.5,47.2
U3T-R,109.7,31.3,45.9
U3T-L,147.2,32,45.9
U4BC-R,104.4,39.1,46.1
U4BC-L,151.6,38.6,46.2
U5BC-R,101.3,45.4,46.4
U5BC-L,155,45.3,46.5
U6MBC-R,98.5,50.7,46.8
U6MBC-L,157.8,51.6,47.1
U6DBC-R,97.4,55.9,47.3
U6DBC-L,158.7,56.9,47.4
U7MBC-R,96.1,62.7,46.7
U7MBC-L,160,62.6,46.9
U7DBC-R,95.4,68,46.3
U7DBC-L,160.1,68.1,46.4
MF-R,104.6,39.6,25.4
MF-L,152.3,40.8,25.6
